CNPJ;Razao Social;Codigo do Cliente;Numero do Contrato;DR do Contrato;Codigo do Centro de Custos;Centro de Custos;Numero da Fatura;DR da Fatura;Status da Fatura;Inicio do Ciclo de Faturamento;Fim do Ciclo de Faturamento;Data de Emissao;Data de Vencimento;Data de Pagamento;Data de Cancelamento;Data de Fechamento;;;;;;;;;
3,16E+13;TECNOPHARMA FARM DE MANIPULACAO LTDA;751135;9912333499;50;751135;TECNOPHARMA FARM DE MANIPULACAO LTDA;658511;50;Em Aberto;16;15;05/05/2023;05/05/2023;          ;          ;15/04/2023;;;;;;;;;
Numero do Cartao de Postagem;Titular do Cartao de Postagem;Data de Postagem;Codigo do Servico;Servico;Quantidade de Itens;Peso;Valor Unitario do Servico;Valor do Servico;Numero do Documento;Etiqueta;Valor Declarado;Valor do Desconto;Codigo do Servico Adicional;Unidade de Postagem;CEP de Origem;Municipio do CEP de Origem;UF do CEP de Origem;CEP de Destino;Muncipio do CEP de Destino;UF do CEP de Destino;Altura;Largura;Comprimento;Diametro;Peso Real
67736440;TECNOPHARMA FARM DE MANIPULACAO LTDA;28/03/2023;3247;SEDEX REVERSO;1;166;R$ 62,12;R$ 62,12;216351685;OS785767316BR;R$ 0,00;R$ 0,00;0;00002688 AC VITORIA DA CONQUISTA;45000970;VITORIA DA CONQUISTA;BA;4552000;SAO PAULO;SP;400;1200;1600;0;16600
67736440;TECNOPHARMA FARM DE MANIPULACAO LTDA;28/03/2023;116601019;CAIXA ENCOMENDA RPC 1B;1;0;R$ 6,55;R$ 6,55;530428786;0;R$ 0,00;R$ 0,00;0;00002688 AC VITORIA DA CONQUISTA;45000970;VITORIA DA CONQUISTA;BA;0;;;0;0;0;0;0
67736440;TECNOPHARMA FARM DE MANIPULACAO LTDA;13/04/2023;3247;SEDEX REVERSO;1;54;R$ 26,39;R$ 26,39;955723405;QB955723405BR;R$ 0,00;R$ 0,00;0;00235777 AGF RUA SANTOS SARAIVA;88070972;FLORIANOPOLIS;SC;4552000;SAO PAULO;SP;500;2500;3000;0;5400
67736440;TECNOPHARMA FARM DE MANIPULACAO LTDA;30/03/2023;3247;SEDEX REVERSO;1;159;R$ 9,10;R$ 9,10;442427484;OV442427484BR;R$ 0,00;R$ 0,00;0;00024453 AC VILA ZELINA;3279972;SAO PAULO;SP;4552000;SAO PAULO;SP;1000;1100;2900;0;15900
67736440;TECNOPHARMA FARM DE MANIPULACAO LTDA;06/04/2023;3247;SEDEX REVERSO;1;175;R$ 26,39;R$ 26,39;397374165;OV397374165BR;R$ 0,00;R$ 0,00;0;00024455 AC BROOKLIN PAULISTA;4602970;SAO PAULO;SP;22250000;RIO DE JANEIRO;RJ;0;0;0;0;17500
67736750;TECNOPHARMA FARM DE MANIPULACAO LTDA;13/04/2023;3247;SEDEX REVERSO;1;159;R$ 26,39;R$ 26,39;397379825;OV397379825BR;R$ 23,50;R$ 0,00;0;00024455 AC BROOKLIN PAULISTA;4602970;SAO PAULO;SP;22250000;RIO DE JANEIRO;RJ;0;0;0;0;15900
67736440;TECNOPHARMA FARM DE MANIPULACAO LTDA;20/03/2023;3247;SEDEX REVERSO;1;112;R$ 12,16;R$ 12,16;375213237;OV375213237BR;R$ 329,90;R$ 0,00;0;00024468 AC BAIRRO DA PREVIDENCIA;5513970;SAO PAULO;SP;4552000;SAO PAULO;SP;900;1400;1800;0;11200
67736440;TECNOPHARMA FARM DE MANIPULACAO LTDA;14/04/2023;3247;SEDEX REVERSO;1;147;R$ 26,39;R$ 26,39;246442314;OV246442314BR;R$ 0,00;R$ 0,00;0;00061510 AC AVENIDA DAS AMERICAS;22790972;RIO DE JANEIRO;RJ;29157000;;;900;1400;1800;0;14700
