Unidade de postagem;Nota fiscal;Valor frete
00423891 AGF AVENIDA VITORIA;108782;27,42
00423891 AGF AVENIDA VITORIA;108787;22,85
00423891 AGF AVENIDA VITORIA;108632;26,47
00423891 AGF AVENIDA VITORIA;108651;18,82
00423891 AGF AVENIDA VITORIA;108656;18,27
00423891 AGF AVENIDA VITORIA;108662;27,42
00423891 AGF AVENIDA VITORIA;108667;21,88
00235037 AGF PEDRO II;103846;0
00423891 AGF AVENIDA VITORIA;108772;0
00423891 AGF AVENIDA VITORIA;108834;0
00423891 AGF AVENIDA VITORIA;108622;0
00423891 AGF AVENIDA VITORIA;108623;0
00423891 AGF AVENIDA VITORIA;108624;0
00423891 AGF AVENIDA VITORIA;108625;0
00423891 AGF AVENIDA VITORIA;108626;0
00423891 AGF AVENIDA VITORIA;108627;0
00423891 AGF AVENIDA VITORIA;108630;10,2
00423891 AGF AVENIDA VITORIA;108638;10,2
00423891 AGF AVENIDA VITORIA;108639;10,2
00423891 AGF AVENIDA VITORIA;108663;10,2
00423891 AGF AVENIDA VITORIA;108945;18,82
00423891 AGF AVENIDA VITORIA;108911;18,27
00423891 AGF AVENIDA VITORIA;109094;26,47
00423891 AGF AVENIDA VITORIA;109103;18,82
00423891 AGF AVENIDA VITORIA;109179;18,27
00423891 AGF AVENIDA VITORIA;109099;20,36
00423891 AGF AVENIDA VITORIA;109141;20,36
00423891 AGF AVENIDA VITORIA;109176;27,82
00423891 AGF AVENIDA VITORIA;109277;18,27
00423891 AGF AVENIDA VITORIA;109309;18,27
00235037 AGF PEDRO II;103928;0
00235037 AGF PEDRO II;103929;0
00423891 AGF AVENIDA VITORIA;109193;0
00423891 AGF AVENIDA VITORIA;109196;0
00423891 AGF AVENIDA VITORIA;109198;0
00423891 AGF AVENIDA VITORIA;109245;0
00423891 AGF AVENIDA VITORIA;109246;0
00423891 AGF AVENIDA VITORIA;109287;10,2
00423891 AGF AVENIDA VITORIA;109288;27,82
00423891 AGF AVENIDA VITORIA;109308;0
00423891 AGF AVENIDA VITORIA;109311;0
00423891 AGF AVENIDA VITORIA;109312;0
00423891 AGF AVENIDA VITORIA;109313;0
00423891 AGF AVENIDA VITORIA;109396;10,2
00423891 AGF AVENIDA VITORIA;109323;0
00423891 AGF AVENIDA VITORIA;109331;54,28
00235037 AGF PEDRO II;103937;0
00235037 AGF PEDRO II;103939;0
00423891 AGF AVENIDA VITORIA;109486;0
00423891 AGF AVENIDA VITORIA;109483;21,42
00423891 AGF AVENIDA VITORIA;109493;21,42
00423891 AGF AVENIDA VITORIA;109496;25,92
00423891 AGF AVENIDA VITORIA;109499;18,42
00235037 AGF PEDRO II;103992;0
00235037 AGF PEDRO II;103993;0
00423891 AGF AVENIDA VITORIA;109561;26,39
00235037 AGF PEDRO II;103970;0
00235037 AGF PEDRO II;103971;0
00235037 AGF PEDRO II;103974;0
00235037 AGF PEDRO II;103977;0
00423891 AGF AVENIDA VITORIA;109424;9,68
00423891 AGF AVENIDA VITORIA;109484;0
00423891 AGF AVENIDA VITORIA;109485;0
00423891 AGF AVENIDA VITORIA;109487;0
00423891 AGF AVENIDA VITORIA;109490;26,39
00423891 AGF AVENIDA VITORIA;109495;26,39
00423891 AGF AVENIDA VITORIA;109501;26,39
00423891 AGF AVENIDA VITORIA;109508;19,31
00423891 AGF AVENIDA VITORIA;109513;28,61
00423891 AGF AVENIDA VITORIA;109552;0
00423891 AGF AVENIDA VITORIA;109779;25,92
00423891 AGF AVENIDA VITORIA;109687;15,99
00423891 AGF AVENIDA VITORIA;109695;21,42
00423891 AGF AVENIDA VITORIA;109756;9,68
00235037 AGF PEDRO II;104017;0
00235037 AGF PEDRO II;104009;56,3
00423891 AGF AVENIDA VITORIA;109633;0
00423891 AGF AVENIDA VITORIA;109685;0
00423891 AGF AVENIDA VITORIA;109686;0
00423891 AGF AVENIDA VITORIA;109688;0
00423891 AGF AVENIDA VITORIA;109689;0
00423891 AGF AVENIDA VITORIA;109690;0
00423891 AGF AVENIDA VITORIA;109691;0
00423891 AGF AVENIDA VITORIA;109692;0
00423891 AGF AVENIDA VITORIA;109693;0
00423891 AGF AVENIDA VITORIA;110138;26,85
00423891 AGF AVENIDA VITORIA;110085;18,05
00423891 AGF AVENIDA VITORIA;110086;15,99
00423891 AGF AVENIDA VITORIA;110157;28,76
00423891 AGF AVENIDA VITORIA;109931;18,42
00423891 AGF AVENIDA VITORIA;110038;26,85
00423891 AGF AVENIDA VITORIA;110173;21,42
00423891 AGF AVENIDA VITORIA;110182;26,85
00423891 AGF AVENIDA VITORIA;110137;19,31
00423891 AGF AVENIDA VITORIA;110141;9,68
00423891 AGF AVENIDA VITORIA;110097;26,39
00235037 AGF PEDRO II;104056;0
00423891 AGF AVENIDA VITORIA;110153;26,39
00235037 AGF PEDRO II;104037;0
00423891 AGF AVENIDA VITORIA;110045;9,68
00423891 AGF AVENIDA VITORIA;110167;53,41
00423891 AGF AVENIDA VITORIA;110259;23,59
00423891 AGF AVENIDA VITORIA;110265;21,42
00423891 AGF AVENIDA VITORIA;110214;17,89
00423891 AGF AVENIDA VITORIA;110245;26,85
00423891 AGF AVENIDA VITORIA;110262;26,39
00423891 AGF AVENIDA VITORIA;110263;0
00423891 AGF AVENIDA VITORIA;110264;0
00423891 AGF AVENIDA VITORIA;110275;0
00423891 AGF AVENIDA VITORIA;110276;0
00423891 AGF AVENIDA VITORIA;110280;0
00423891 AGF AVENIDA VITORIA;110295;9,68
00423891 AGF AVENIDA VITORIA;110395;0
00423891 AGF AVENIDA VITORIA;110397;9,68
00235037 AGF PEDRO II;104081;0
00235037 AGF PEDRO II;104100;0
00423891 AGF AVENIDA VITORIA;110216;0
00235037 AGF PEDRO II;104101;0
00235037 AGF PEDRO II;104102;17,87
00423891 AGF AVENIDA VITORIA;110218;18,82
00423891 AGF AVENIDA VITORIA;110230;0
00423891 AGF AVENIDA VITORIA;110231;0
00423891 AGF AVENIDA VITORIA;110232;0
00423891 AGF AVENIDA VITORIA;110233;26,39
00423891 AGF AVENIDA VITORIA;110234;0
00423891 AGF AVENIDA VITORIA;110235;0
00235037 AGF PEDRO II;104121;0
00235037 AGF PEDRO II;104125;0
