Unidade de postagem;Nota fiscal;Valor frete
00423891 AGF AVENIDA VITORIA;9918;0
00423891 AGF AVENIDA VITORIA;9923;24,45
00423891 AGF AVENIDA VITORIA;9929;97,37
00423891 AGF AVENIDA VITORIA;9936;128,93
00423891 AGF AVENIDA VITORIA;9938;134,49
00423891 AGF AVENIDA VITORIA;9941;41,16
00423891 AGF AVENIDA VITORIA;9944;145,84
00423891 AGF AVENIDA VITORIA;9945;156,44
00423891 AGF AVENIDA VITORIA;9948;156,44
00423891 AGF AVENIDA VITORIA;9970;88,58
00423891 AGF AVENIDA VITORIA;9975;312,9
00423891 AGF AVENIDA VITORIA;9976;117,65
00423891 AGF AVENIDA VITORIA;9992;321,95
00423891 AGF AVENIDA VITORIA;10021;0
00423891 AGF AVENIDA VITORIA;10026;180,56
00423891 AGF AVENIDA VITORIA;10028;126,05
00423891 AGF AVENIDA VITORIA;10029;131,39
00423891 AGF AVENIDA VITORIA;10031;143,96
00423891 AGF AVENIDA VITORIA;10033;73,32
00423891 AGF AVENIDA VITORIA;10046;119,44
00423891 AGF AVENIDA VITORIA;10051;150,79
00423891 AGF AVENIDA VITORIA;10052;80,53
00423891 AGF AVENIDA VITORIA;10056;0
00423891 AGF AVENIDA VITORIA;10061;218,68
00423891 AGF AVENIDA VITORIA;10063;213,03
00423891 AGF AVENIDA VITORIA;10064;174,42
00423891 AGF AVENIDA VITORIA;10065;405,39
00423891 AGF AVENIDA VITORIA;10066;343,67
00423891 AGF AVENIDA VITORIA;10069;0
00423891 AGF AVENIDA VITORIA;10074;0
00423891 AGF AVENIDA VITORIA;10075;0
00423891 AGF AVENIDA VITORIA;10083;0
00423891 AGF AVENIDA VITORIA;10086;0
00423891 AGF AVENIDA VITORIA;10099;0
00423891 AGF AVENIDA VITORIA;10113;275,06
00423891 AGF AVENIDA VITORIA;10118;78,6
00423891 AGF AVENIDA VITORIA;10134;257,02
00423891 AGF AVENIDA VITORIA;10135;591,65
00423891 AGF AVENIDA VITORIA;10139;75,85
00423891 AGF AVENIDA VITORIA;10148;151,4
00423891 AGF AVENIDA VITORIA;10162;106,85
00423891 AGF AVENIDA VITORIA;10170;63,41
00423891 AGF AVENIDA VITORIA;10178;51,16
00423891 AGF AVENIDA VITORIA;10184;83,07
00423891 AGF AVENIDA VITORIA;10186;182,37
00423891 AGF AVENIDA VITORIA;10189;104,06
00423891 AGF AVENIDA VITORIA;10193;115,34
00423891 AGF AVENIDA VITORIA;10200;104,67
00423891 AGF AVENIDA VITORIA;10213;175,95
00423891 AGF AVENIDA VITORIA;10219;67,25
00423891 AGF AVENIDA VITORIA;10221;95,74
