SFE - SISTEMA DE FATURA ELETRONICA - Extrato Analitico de Fatura; 
 
CNPJ;Data;Hora;Razao Social;Contrato;DR;AN8 (ERP);Centro de Custos;Numero da Fatura;Status da Fatura;Data de Vencimento;
08674593000183;26/06/2023;10:07;DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;9912351634;SE/RJ;3756351;DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;668065;Em Aberto;05/07/2023;
 
DETALHAMENTO DA FATURA
Titular do Cartao;Cartao de Postagem;Data da Postagem;Codigo do Servico;Servicos Adicionais;CEP Destinatario;Unidade da Postagem;Peso (gramas);Quantidade;Numero da Etiqueta;Documento;Valor Unitario (R$);Valor do Servico (R$);Desconto (R$);Valor Liquido (R$);Valor Declarado (R$);
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;16/05/2023;03220;;30130;00423891 AGF AVENIDA VITORIA;1145;1;TE474811293BR;0474811293;R$ 34,94;R$ 34,94;R$ 0,00;R$ 34,94;R$ 70,14;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;16/05/2023;03220;;66635;00423891 AGF AVENIDA VITORIA;2240;1;TE474811302BR;0474811302;R$ 96,86;R$ 96,86;R$ 0,00;R$ 96,86;R$ 450,70;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;19/05/2023;03220;;44052;00423891 AGF AVENIDA VITORIA;890;1;TE474811333BR;0474811333;R$ 42,20;R$ 42,20;R$ 0,00;R$ 42,20;R$ 240,00;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;19/05/2023;03220;;60176;00423891 AGF AVENIDA VITORIA;1385;1;TE474811347BR;0474811347;R$ 76,99;R$ 76,99;R$ 0,00;R$ 76,99;R$ 480,00;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;19/05/2023;03220;;22640;00423891 AGF AVENIDA VITORIA;775;1;TE474811355BR;0474811355;R$ 29,52;R$ 29,52;R$ 0,00;R$ 29,52;R$ 115,38;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;19/05/2023;03220;;50110;00423891 AGF AVENIDA VITORIA;5340;1;TE474811364BR;0474811364;R$ 151,62;R$ 151,62;R$ 0,00;R$ 151,62;R$ 2.340,00;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;19/05/2023;03220;;64048;00423891 AGF AVENIDA VITORIA;18490;1;TE474811378BR;0474811378;R$ 453,74;R$ 453,74;R$ 0,00;R$ 453,74;R$ 6.809,46;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;19/05/2023;03220;;37640;00423891 AGF AVENIDA VITORIA;1020;1;TE474811320BR;0474811320;R$ 36,05;R$ 36,05;R$ 0,00;R$ 36,05;R$ 181,32;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;19/05/2023;03220;;44900;00423891 AGF AVENIDA VITORIA;2075;1;TE474811316BR;0474811316;R$ 93,47;R$ 93,47;R$ 0,00;R$ 93,47;R$ 1.260,39;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;19/05/2023;03220;;44900;00423891 AGF AVENIDA VITORIA;1750;1;TE474811381BR;0474811381;R$ 78,30;R$ 78,30;R$ 0,00;R$ 78,30;R$ 863,28;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;19/05/2023;03220;;79020;00423891 AGF AVENIDA VITORIA;1990;1;TE474811404BR;0474811404;R$ 72,41;R$ 72,41;R$ 0,00;R$ 72,41;R$ 1.056,39;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;19/05/2023;03220;;32900;00423891 AGF AVENIDA VITORIA;1295;1;TE474811395BR;0474811395;R$ 43,61;R$ 43,61;R$ 0,00;R$ 43,61;R$ 937,52;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;22/05/2023;03220;;58038;00423891 AGF AVENIDA VITORIA;2345;1;TE474811418BR;0474811418;R$ 102,27;R$ 102,27;R$ 0,00;R$ 102,27;R$ 991,65;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;23/05/2023;03220;;27261;00423891 AGF AVENIDA VITORIA;15360;1;TE474811421BR;0474811421;R$ 187,93;R$ 187,93;R$ 0,00;R$ 187,93;R$ 1.167,07;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;24/05/2023;03220;;57030;00423891 AGF AVENIDA VITORIA;3480;1;TE474811435BR;0474811435;R$ 186,91;R$ 186,91;R$ 0,00;R$ 186,91;R$ 9.945,06;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;24/05/2023;03220;;66635;00423891 AGF AVENIDA VITORIA;5680;1;TE474811449BR;0474811449;R$ 176,21;R$ 176,21;R$ 0,00;R$ 176,21;R$ 4.799,44;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;24/05/2023;03220;;73760;00423891 AGF AVENIDA VITORIA;5775;1;TE474811452BR;0474811452;R$ 217,95;R$ 217,95;R$ 0,00;R$ 217,95;R$ 5.061,58;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;24/05/2023;03220;;60160;00423891 AGF AVENIDA VITORIA;880;1;TE474811470BR;0474811470;R$ 66,92;R$ 66,92;R$ 0,00;R$ 66,92;R$ 709,80;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;24/05/2023;03220;;57030;00423891 AGF AVENIDA VITORIA;1455;1;TE474811466BR;0474811466;R$ 74,45;R$ 74,45;R$ 0,00;R$ 74,45;R$ 1.260,00;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;24/05/2023;03220;;57030;00423891 AGF AVENIDA VITORIA;19710;1;TE474811483BR;0474811483;R$ 436,69;R$ 436,69;R$ 0,00;R$ 436,69;R$ 9.945,06;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;24/05/2023;03220;;69900;00423955 AGF BAIRRO VILA RUBIM;7933;1;TE474811497BR;0474811497;R$ 236,73;R$ 236,73;R$ 0,00;R$ 236,73;R$ 8.167,98;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;24/05/2023;03220;;79020;00423955 AGF BAIRRO VILA RUBIM;1090;1;TE474811506BR;0474811506;R$ 63,85;R$ 63,85;R$ 0,00;R$ 63,85;R$ 200,38;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;24/05/2023;03220;;95084;00423955 AGF BAIRRO VILA RUBIM;1195;1;TE474811510BR;0474811510;R$ 50,56;R$ 50,56;R$ 0,00;R$ 50,56;R$ 250,44;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;24/05/2023;03220;;58038;00423955 AGF BAIRRO VILA RUBIM;1275;1;TE474811523BR;0474811523;R$ 74,19;R$ 74,19;R$ 0,00;R$ 74,19;R$ 200,38;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;24/05/2023;03220;;51111;00423955 AGF BAIRRO VILA RUBIM;1200;1;TE474811537BR;0474811537;R$ 74,19;R$ 74,19;R$ 0,00;R$ 74,19;R$ 200,38;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;24/05/2023;03220;;64048;00423955 AGF BAIRRO VILA RUBIM;1195;1;TE474811545BR;0474811545;R$ 74,93;R$ 74,93;R$ 0,00;R$ 74,93;R$ 274,57;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;24/05/2023;03220;;68040;00423955 AGF BAIRRO VILA RUBIM;1200;1;TE474811554BR;0474811554;R$ 97,87;R$ 97,87;R$ 0,00;R$ 97,87;R$ 200,38;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;24/05/2023;03220;;59611;00423955 AGF BAIRRO VILA RUBIM;1090;1;TE474811568BR;0474811568;R$ 82,49;R$ 82,49;R$ 0,00;R$ 82,49;R$ 200,38;
